time;throughput;snd_responsetime;rcv_responsetime
553;1666.0;26.1873801467;13.7970431102
554;1674.0;24.927496169;14.2889810522
555;1703.0;25.1514914885;13.7695970106
556;1690.0;24.1620211125;13.794356727
557;1578.0;26.3142521329;15.9339091785
558;1740.0;23.9596773703;13.5974008562
559;1634.0;25.233048533;14.4931939357
560;1768.0;24.6603843568;13.2330670991
561;1570.0;25.9374029924;15.2614713958
562;1080.0;41.2101624986;21.2330579077
563;1947.0;21.8495186121;12.2705029138
564;1965.0;21.2311019192;12.0740867196
565;1888.0;22.1718822824;12.6925885742
566;1771.0;23.1622623847;13.4032672217
567;1783.0;23.5525625084;13.4041018183
568;1747.0;23.0785142937;13.6776393385
569;1786.0;23.2963049633;13.7049306192
570;1773.0;23.1320809467;13.6946055217
571;1682.0;25.0571553754;13.9214587205
572;1686.0;23.5526759333;14.7874976864
573;1609.0;25.2803689208;14.7055819381
574;1292.0;29.2934116636;20.6938575069
575;1662.0;24.6987983436;14.6050594301
576;1303.0;24.0911842627;14.801733412
577;179.0;276.665805646;142.251328149
578;100.0;268.518269382;167.405117182
579;2.0;5552.021999;5549.143065
580;2.0;5552.845514;5546.521383
581;2.0;11046.871854;5546.934701
582;2.0;11045.696842;5544.97878
583;2.0;11006.423655;5545.574741
584;9.0;1.269432;4162.37345125
585;2.0;11047.556163;11029.384173
586;2.0;0.62812;11039.138461
587;2.0;5575.200439;11033.351877
588;2.0;5575.643479;11042.201845
589;153.0;1102.17422776;1096.17417772
590;1552.0;28.3440577958;16.3002603206
591;1620.0;26.6414217803;14.2944303426
592;1676.0;23.931046931;14.7343159685
593;1576.0;27.3222867776;14.9920295048
594;1612.0;25.5965987106;14.9828245284
595;1600.0;25.045528607;15.330323483
596;1492.0;26.5177354841;16.8495563192
597;1563.0;26.9633550057;15.1513101596
598;1712.0;22.9158883583;13.6537815418
599;1685.0;27.5639910409;13.7438031728
600;1711.0;24.9991651804;13.6359312096
601;1664.0;24.664979148;14.5790010181
602;1713.0;24.6125954049;13.8771457789
603;1616.0;27.5763578971;14.0076724692
604;1793.0;23.87890994;12.9452202666
