time;throughput;snd_responsetime;rcv_responsetime
664;1768.0;24.7056816774;13.2581493367
665;1714.0;24.5131087425;13.7029723984
666;1781.0;24.5782971883;13.0230378967
667;1650.0;26.1043741136;14.1508881332
668;1841.0;23.8360027092;12.6949077488
669;1314.0;28.3351431885;20.0873705552
670;1686.0;26.1315301922;13.5273564475
671;1756.0;24.7695001397;13.2205986929
672;1800.0;23.8496460083;12.8020331858
673;1757.0;25.5605911151;12.9559309348
674;1626.0;24.0739510798;14.5671914508
675;1716.0;25.0280187645;14.7401994882
676;1789.0;24.3374359866;12.8709784996
677;1647.0;24.2842574945;14.7153120091
678;1703.0;25.4204262364;13.8709967067
679;1620.0;26.7956347815;14.5297660343
680;1676.0;25.2866194247;14.0841529445
681;1620.0;26.8785082817;14.253029131
682;1702.0;25.9869957276;13.4153040388
683;1612.0;26.4326611688;14.8178773066
684;1605.0;26.4186203315;14.6573920627
685;1684.0;24.8247081373;14.4445575414
686;1659.0;25.4986385906;14.2469534472
687;1621.0;25.9032386575;14.5712482512
688;1620.0;25.2130635167;15.3833465684
689;1344.0;33.4842692321;16.3058433594
690;1638.0;26.8186256606;14.1200930366
691;1669.0;26.0311310162;14.0116965567
692;1484.0;27.5862986781;14.6789445897
693;151.0;138.503638327;154.57112924
694;105.0;609.052471167;203.592387787
695;310.0;143.881576465;100.16544967
696;1638.0;25.5302835774;15.0352170422
697;1565.0;24.1647172687;16.6611285489
698;1689.0;24.6288788571;14.0424951791
699;1600.0;26.9454006811;14.7733505009
700;1631.0;23.808329356;14.1944099144
701;1640.0;26.7578638385;15.2287570652
702;1605.0;25.49682555;14.6027313653
703;1632.0;26.2258446766;14.2818487495
704;1658.0;26.5140319007;14.2934608687
705;1690.0;25.0064816578;14.5616872709
706;1763.0;23.1516236745;13.5977738812
707;1676.0;25.9278138357;14.0529151907
708;1767.0;24.2539833639;12.8600184012
709;1742.0;25.6643018213;13.3810374457
710;1772.0;24.8640405492;12.8855317631
711;1701.0;23.9968143531;14.0954571523
712;1735.0;25.6225943676;13.4735955349
713;1736.0;24.419655062;13.282434026
714;1610.0;26.0846813133;15.2545807744
715;1767.0;23.7618526034;13.6771338972
716;1653.0;27.1332248584;13.5184281298
717;1670.0;25.0492881059;14.431986354
718;1704.0;25.3801461002;13.8050963718
719;1742.0;23.025246117;14.1765145866
720;1653.0;25.6024939856;13.8220497375
721;1790.0;23.748079242;13.8062751121
722;1711.0;25.2832086451;13.6925507629
723;1660.0;26.4572018065;13.7591714528
724;1345.0;33.4784384775;16.8301568391
725;1629.0;24.1567316976;15.3625414422
726;1674.0;25.1747639824;14.2577446338
727;1754.0;23.7891752256;13.6009809068
728;1555.0;25.9036645849;15.260679812
729;1313.0;32.8617452397;18.7426847931
